subject,no_mask,static_mask,delta
subject1,0.7170945585940275,0.7523211797344131,0.03522662114038566
subject10,0.3326998532078275,0.4392669955328932,0.1065671423250657
subject11,0.32347757774277835,0.30388318959456934,-0.01959438814820902
subject12,0.025173233229727005,0.0454161419536288,0.020242908723901797
subject13,0.17053784098545485,0.20019565527436997,0.02965781428891512
subject14,0.14026530274367438,0.18149561022302,0.04123030747934561
subject15,0.18274901278718594,0.23921007285735033,0.05646106007016438
subject16,0.17807243761158376,0.23565000067612565,0.0575775630645419
subject17,0.10702991386067587,0.1606888490090048,0.05365893514832892
subject18,0.7044922526350229,0.7661884810006363,0.06169622836561339
subject20,0.28475274395562755,0.3377517324284061,0.05299898847277856
subject22,0.1733565251540888,0.25876418090395487,0.08540765574986606
subject23,0.5516771297044155,0.575437987781097,0.02376085807668149
subject24,0.40490215023915865,0.5105360601743092,0.10563390993515054
subject25,0.10638139936009385,0.1360451000244386,0.029663700664344747
subject26,0.06726180030984737,0.07121103749828282,0.003949237188435456
subject27,0.05674763224045023,0.04002653069175363,-0.016721101548696597
subject3,0.7291541517404496,0.6928553218225929,-0.03629882991785671
subject30,0.03705604702736887,0.1059782869395449,0.06892223991217603
subject31,0.3633977290062195,0.43000206002307406,0.06660433101685453
subject32,0.13866987625212623,0.1359619445544497,-0.0027079316976765244
subject33,0.6249770574296595,0.7729576702605728,0.14798061283091335
subject34,0.5438674150606675,0.525672008279086,-0.01819540678158149
subject35,0.8292766576080335,0.8626112914418629,0.0333346338338294
subject36,0.5852513639983803,0.7223420735038855,0.13709070950550517
subject37,0.48561161560817073,0.5502140993026396,0.06460248369446892
subject38,0.4513909211637084,0.5229599909581434,0.071569069794435
subject39,0.26557373007603324,0.3700764420400002,0.10450271196396693
subject4,0.743918864269412,0.8064346617604088,0.06251579749099678
subject40,0.507276025533949,0.5465606241236555,0.039284598589706454
subject41,0.16768482071765456,0.18119766378717014,0.013512843069515584
subject42,0.5393803028489719,0.7499716759721615,0.21059137312318965
subject43,0.24028807300218588,0.29504770502933075,0.05475963202714487
subject44,0.21281679956422986,0.23098866629884243,0.018171866734612574
subject45,0.15947373692289732,0.17065284250063018,0.011179105577732856
subject46,0.2225936225350572,0.2654706699446606,0.04287704740960341
subject47,0.38356982331693873,0.5043940852175998,0.12082426190066103
subject48,0.3580593912203307,0.554513141924481,0.19645375070415028
subject49,0.3943861626822735,0.46601751264745916,0.07163134996518566
subject5,0.38786522224546477,0.7348627292813523,0.34699750703588755
subject8,0.4413818721012259,0.5125911828487472,0.07120931074752124
subject9,0.3886109329960168,0.5329402884228241,0.14432935542680736
